physical_space_id,kind,floor_label,axis,quadrant,slot_index,source_code_supabase,display_code_supabase,generated_code_3d,renamed_code_3d,plate_code_3d,inventory_status,coordinates,status
phys_b_f1_xn_zn_vertical_04,boutique,1,vertical,xn_zn,4,E104,S-103,E104,S-103,S-103,candidate_store,"(-35,-71) | (-17,-71) | (-17,-59) | (-35,-59) | y:0-5.2",MATCH
phys_b_f1_xn_zn_vertical_05,boutique,1,vertical,xn_zn,5,E105,S-101,E105,S-101,S-101,candidate_store,"(-35,-83) | (-17,-83) | (-17,-71) | (-35,-71) | y:0-5.2",MATCH
phys_b_f1_xn_zp_horizontal_01,boutique,1,horizontal,xn_zp,1,N101,N101,N101,N101,EN-10,candidate_store,"(-29,17) | (-17,17) | (-17,35) | (-29,35) | y:0-5.2",MISMATCH
phys_b_f1_xn_zp_horizontal_02,boutique,1,horizontal,xn_zp,2,N102,O-108,N102,O-108,E-107,candidate_store,"(-41,17) | (-29,17) | (-29,35) | (-41,35) | y:0-5.2",MISMATCH
phys_b_f1_xn_zp_horizontal_03,boutique,1,horizontal,xn_zp,3,N103,O-106,N103,O-106,E-105,candidate_store,"(-53,17) | (-41,17) | (-41,35) | (-53,35) | y:0-5.2",MISMATCH
phys_b_f1_xn_zp_horizontal_04,boutique,1,horizontal,xn_zp,4,N104,O-104,N104,O-104,E-103,candidate_store,"(-71,17) | (-59,17) | (-59,35) | (-71,35) | y:0-5.2",MISMATCH
phys_b_f1_xn_zp_horizontal_05,boutique,1,horizontal,xn_zp,5,N105,O-102,N105,O-102,E-101,candidate_store,"(-83,17) | (-71,17) | (-71,35) | (-83,35) | y:0-5.2",MISMATCH
phys_b_f1_xn_zp_vertical_01,boutique,1,vertical,xn_zp,1,E101,SE-10,E101,SE-10,EN-10,candidate_store,"(-35,17) | (-17,17) | (-17,29) | (-35,29) | y:0-5.2",MISMATCH
phys_b_f1_xn_zp_vertical_02,boutique,1,vertical,xn_zp,2,E102,S-107,E102,S-107,N-108,candidate_store,"(-35,29) | (-17,29) | (-17,41) | (-35,41) | y:0-5.2",MISMATCH
phys_b_f1_xn_zp_vertical_03,boutique,1,vertical,xn_zp,3,E103,S-105,E103,S-105,N-106,candidate_store,"(-35,41) | (-17,41) | (-17,53) | (-35,53) | y:0-5.2",MISMATCH
phys_b_f1_xn_zp_vertical_04,boutique,1,vertical,xn_zp,4,E104,S-103,E104,S-103,N-104,candidate_store,"(-35,59) | (-17,59) | (-17,71) | (-35,71) | y:0-5.2",MISMATCH
phys_b_f1_xn_zp_vertical_05,boutique,1,vertical,xn_zp,5,E105,S-101,E105,S-101,N-102,candidate_store,"(-35,71) | (-17,71) | (-17,83) | (-35,83) | y:0-5.2",MISMATCH
phys_b_f1_xp_zn_horizontal_01,boutique,1,horizontal,xp_zn,1,S101,OS-10,S101,OS-10,OS-10,candidate_store,"(17,-35) | (29,-35) | (29,-17) | (17,-17) | y:0-5.2",MATCH
phys_b_f1_xp_zn_horizontal_02,boutique,1,horizontal,xp_zn,2,S102,O-107,S102,O-107,O-107,candidate_store,"(29,-35) | (41,-35) | (41,-17) | (29,-17) | y:0-5.2",MATCH
phys_b_f1_xp_zn_horizontal_03,boutique,1,horizontal,xp_zn,3,S103,O-105,S103,O-105,O-105,candidate_store,"(41,-35) | (53,-35) | (53,-17) | (41,-17) | y:0-5.2",MATCH
phys_b_f1_xp_zn_horizontal_04,boutique,1,horizontal,xp_zn,4,S104,O-103,S104,O-103,O-103,candidate_store,"(59,-35) | (71,-35) | (71,-17) | (59,-17) | y:0-5.2",MATCH
phys_b_f1_xp_zn_horizontal_05,boutique,1,horizontal,xp_zn,5,S105,O-101,S105,O-101,O-101,candidate_store,"(71,-35) | (83,-35) | (83,-17) | (71,-17) | y:0-5.2",MATCH
phys_b_f1_xp_zn_vertical_01,boutique,1,vertical,xp_zn,1,O101,OS-10,O101,OS-10,OS-10,candidate_store,"(17,-29) | (35,-29) | (35,-17) | (17,-17) | y:0-5.2",MATCH
phys_b_f1_xp_zn_vertical_02,boutique,1,vertical,xp_zn,2,O102,S-108,O102,S-108,S-108,candidate_store,"(17,-41) | (35,-41) | (35,-29) | (17,-29) | y:0-5.2",MATCH
phys_b_f1_xp_zn_vertical_03,boutique,1,vertical,xp_zn,3,O103,S-106,O103,S-106,S-106,candidate_store,"(17,-53) | (35,-53) | (35,-41) | (17,-41) | y:0-5.2",MATCH
phys_b_f1_xp_zn_vertical_04,boutique,1,vertical,xp_zn,4,O104,S-104,O104,S-104,S-104,candidate_store,"(17,-71) | (35,-71) | (35,-59) | (17,-59) | y:0-5.2",MATCH
phys_b_f1_xp_zn_vertical_05,boutique,1,vertical,xp_zn,5,O105,S-102,O105,S-102,S-102,candidate_store,"(17,-83) | (35,-83) | (35,-71) | (17,-71) | y:0-5.2",MATCH
phys_b_f1_xp_zp_horizontal_01,boutique,1,horizontal,xp_zp,1,N101,N101,N101,N101,NO-10,candidate_store,"(17,17) | (29,17) | (29,35) | (17,35) | y:0-5.2",MISMATCH
phys_b_f1_xp_zp_horizontal_02,boutique,1,horizontal,xp_zp,2,N102,O-108,N102,O-108,O-108,candidate_store,"(29,17) | (41,17) | (41,35) | (29,35) | y:0-5.2",MATCH
phys_b_f1_xp_zp_horizontal_03,boutique,1,horizontal,xp_zp,3,N103,O-106,N103,O-106,O-106,candidate_store,"(41,17) | (53,17) | (53,35) | (41,35) | y:0-5.2",MATCH
phys_b_f1_xp_zp_horizontal_04,boutique,1,horizontal,xp_zp,4,N104,O-104,N104,O-104,O-104,candidate_store,"(59,17) | (71,17) | (71,35) | (59,35) | y:0-5.2",MATCH
phys_b_f1_xp_zp_horizontal_05,boutique,1,horizontal,xp_zp,5,N105,O-102,N105,O-102,O-102,candidate_store,"(71,17) | (83,17) | (83,35) | (71,35) | y:0-5.2",MATCH
phys_b_f1_xp_zp_vertical_01,boutique,1,vertical,xp_zp,1,O101,OS-10,O101,OS-10,NO-10,candidate_store,"(17,17) | (35,17) | (35,29) | (17,29) | y:0-5.2",MISMATCH
phys_b_f1_xp_zp_vertical_02,boutique,1,vertical,xp_zp,2,O102,S-108,O102,S-108,N-107,candidate_store,"(17,29) | (35,29) | (35,41) | (17,41) | y:0-5.2",MISMATCH
phys_b_f1_xp_zp_vertical_03,boutique,1,vertical,xp_zp,3,O103,S-106,O103,S-106,N-105,candidate_store,"(17,41) | (35,41) | (35,53) | (17,53) | y:0-5.2",MISMATCH
phys_b_f1_xp_zp_vertical_04,boutique,1,vertical,xp_zp,4,O104,S-104,O104,S-104,N-103,candidate_store,"(17,59) | (35,59) | (35,71) | (17,71) | y:0-5.2",MISMATCH
phys_b_f1_xp_zp_vertical_05,boutique,1,vertical,xp_zp,5,O105,S-102,O105,S-102,N-101,candidate_store,"(17,71) | (35,71) | (35,83) | (17,83) | y:0-5.2",MISMATCH
phys_b_f2_xn_zn_horizontal_01,boutique,2,horizontal,xn_zn,1,S201,S201,S201,S201,SE-20,candidate_store,"(-29,-35) | (-17,-35) | (-17,-17) | (-29,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_horizontal_02,boutique,2,horizontal,xn_zn,2,S202,S202,S202,S202,E-210,candidate_store,"(-41,-35) | (-29,-35) | (-29,-17) | (-41,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_horizontal_03,boutique,2,horizontal,xn_zn,3,S203,S203,S203,S203,E-208,candidate_store,"(-53,-35) | (-41,-35) | (-41,-17) | (-53,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_horizontal_04,boutique,2,horizontal,xn_zn,4,S204,S204,S204,S204,E-206,candidate_store,"(-65,-35) | (-53,-35) | (-53,-17) | (-65,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_horizontal_05,boutique,2,horizontal,xn_zn,5,S205,S205,S205,S205,E-204,candidate_store,"(-77,-35) | (-65,-35) | (-65,-17) | (-77,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_horizontal_06,boutique,2,horizontal,xn_zn,6,S206,S206,S206,S206,E-202,candidate_store,"(-89,-35) | (-77,-35) | (-77,-17) | (-89,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_horizontal_07,boutique,2,horizontal,xn_zn,7,S207,S207,S207,S207,E-202,candidate_store,"(-95,-35) | (-83,-35) | (-83,-17) | (-95,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_vertical_01,boutique,2,vertical,xn_zn,1,E201,E201,E201,E201,SE-20,candidate_store,"(-35,-29) | (-17,-29) | (-17,-17) | (-35,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_vertical_02,boutique,2,vertical,xn_zn,2,E202,E202,E202,E202,S-209,candidate_store,"(-35,-41) | (-17,-41) | (-17,-29) | (-35,-29) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_vertical_03,boutique,2,vertical,xn_zn,3,E203,E203,E203,E203,S-207,candidate_store,"(-35,-53) | (-17,-53) | (-17,-41) | (-35,-41) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_vertical_04,boutique,2,vertical,xn_zn,4,E204,E204,E204,E204,S-205,candidate_store,"(-35,-65) | (-17,-65) | (-17,-53) | (-35,-53) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_vertical_05,boutique,2,vertical,xn_zn,5,E205,E205,E205,E205,S-203,candidate_store,"(-35,-77) | (-17,-77) | (-17,-65) | (-35,-65) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_vertical_06,boutique,2,vertical,xn_zn,6,E206,E206,E206,E206,S-201,candidate_store,"(-35,-89) | (-17,-89) | (-17,-77) | (-35,-77) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zn_vertical_07,boutique,2,vertical,xn_zn,7,E207,E207,E207,E207,S-201,candidate_store,"(-35,-95) | (-17,-95) | (-17,-83) | (-35,-83) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_horizontal_01,boutique,2,horizontal,xn_zp,1,N201,N201,N201,N201,EN-20,candidate_store,"(-29,17) | (-17,17) | (-17,35) | (-29,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_horizontal_02,boutique,2,horizontal,xn_zp,2,N202,N202,N202,N202,E-209,candidate_store,"(-41,17) | (-29,17) | (-29,35) | (-41,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_horizontal_03,boutique,2,horizontal,xn_zp,3,N203,N203,N203,N203,E-207,candidate_store,"(-53,17) | (-41,17) | (-41,35) | (-53,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_horizontal_04,boutique,2,horizontal,xn_zp,4,N204,N204,N204,N204,E-205,candidate_store,"(-65,17) | (-53,17) | (-53,35) | (-65,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_horizontal_05,boutique,2,horizontal,xn_zp,5,N205,N205,N205,N205,E-203,candidate_store,"(-77,17) | (-65,17) | (-65,35) | (-77,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_horizontal_06,boutique,2,horizontal,xn_zp,6,N206,N206,N206,N206,E-201,candidate_store,"(-89,17) | (-77,17) | (-77,35) | (-89,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_horizontal_07,boutique,2,horizontal,xn_zp,7,N207,N207,N207,N207,E-201,candidate_store,"(-95,17) | (-83,17) | (-83,35) | (-95,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_vertical_01,boutique,2,vertical,xn_zp,1,E201,E201,E201,E201,EN-20,candidate_store,"(-35,17) | (-17,17) | (-17,29) | (-35,29) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_vertical_02,boutique,2,vertical,xn_zp,2,E202,E202,E202,E202,N-210,candidate_store,"(-35,29) | (-17,29) | (-17,41) | (-35,41) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_vertical_03,boutique,2,vertical,xn_zp,3,E203,E203,E203,E203,N-208,candidate_store,"(-35,41) | (-17,41) | (-17,53) | (-35,53) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_vertical_04,boutique,2,vertical,xn_zp,4,E204,E204,E204,E204,N-206,candidate_store,"(-35,53) | (-17,53) | (-17,65) | (-35,65) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_vertical_05,boutique,2,vertical,xn_zp,5,E205,E205,E205,E205,N-204,candidate_store,"(-35,65) | (-17,65) | (-17,77) | (-35,77) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_vertical_06,boutique,2,vertical,xn_zp,6,E206,E206,E206,E206,N-202,candidate_store,"(-35,77) | (-17,77) | (-17,89) | (-35,89) | y:5.5-10.7",MISMATCH
phys_b_f2_xn_zp_vertical_07,boutique,2,vertical,xn_zp,7,E207,E207,E207,E207,N-202,candidate_store,"(-35,83) | (-17,83) | (-17,95) | (-35,95) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_horizontal_01,boutique,2,horizontal,xp_zn,1,S201,S201,S201,S201,OS-20,candidate_store,"(17,-35) | (29,-35) | (29,-17) | (17,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_horizontal_02,boutique,2,horizontal,xp_zn,2,S202,S202,S202,S202,O-209,candidate_store,"(29,-35) | (41,-35) | (41,-17) | (29,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_horizontal_03,boutique,2,horizontal,xp_zn,3,S203,S203,S203,S203,O-207,candidate_store,"(41,-35) | (53,-35) | (53,-17) | (41,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_horizontal_04,boutique,2,horizontal,xp_zn,4,S204,S204,S204,S204,O-205,candidate_store,"(53,-35) | (65,-35) | (65,-17) | (53,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_horizontal_05,boutique,2,horizontal,xp_zn,5,S205,S205,S205,S205,O-203,candidate_store,"(65,-35) | (77,-35) | (77,-17) | (65,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_horizontal_06,boutique,2,horizontal,xp_zn,6,S206,S206,S206,S206,O-201,candidate_store,"(77,-35) | (89,-35) | (89,-17) | (77,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_horizontal_07,boutique,2,horizontal,xp_zn,7,S207,S207,S207,S207,O-201,candidate_store,"(83,-35) | (95,-35) | (95,-17) | (83,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_vertical_01,boutique,2,vertical,xp_zn,1,O201,O201,O201,O201,OS-20,candidate_store,"(17,-29) | (35,-29) | (35,-17) | (17,-17) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_vertical_02,boutique,2,vertical,xp_zn,2,O202,O202,O202,O202,S-210,candidate_store,"(17,-41) | (35,-41) | (35,-29) | (17,-29) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_vertical_03,boutique,2,vertical,xp_zn,3,O203,O203,O203,O203,S-208,candidate_store,"(17,-53) | (35,-53) | (35,-41) | (17,-41) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_vertical_04,boutique,2,vertical,xp_zn,4,O204,O204,O204,O204,S-206,candidate_store,"(17,-65) | (35,-65) | (35,-53) | (17,-53) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_vertical_05,boutique,2,vertical,xp_zn,5,O205,O205,O205,O205,S-204,candidate_store,"(17,-77) | (35,-77) | (35,-65) | (17,-65) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_vertical_06,boutique,2,vertical,xp_zn,6,O206,O206,O206,O206,S-202,candidate_store,"(17,-89) | (35,-89) | (35,-77) | (17,-77) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zn_vertical_07,boutique,2,vertical,xp_zn,7,O207,O207,O207,O207,S-202,candidate_store,"(17,-95) | (35,-95) | (35,-83) | (17,-83) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_horizontal_01,boutique,2,horizontal,xp_zp,1,N201,N201,N201,N201,NO-20,candidate_store,"(17,17) | (29,17) | (29,35) | (17,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_horizontal_02,boutique,2,horizontal,xp_zp,2,N202,N202,N202,N202,O-210,candidate_store,"(29,17) | (41,17) | (41,35) | (29,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_horizontal_03,boutique,2,horizontal,xp_zp,3,N203,N203,N203,N203,O-208,candidate_store,"(41,17) | (53,17) | (53,35) | (41,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_horizontal_04,boutique,2,horizontal,xp_zp,4,N204,N204,N204,N204,O-206,candidate_store,"(53,17) | (65,17) | (65,35) | (53,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_horizontal_05,boutique,2,horizontal,xp_zp,5,N205,N205,N205,N205,O-204,candidate_store,"(65,17) | (77,17) | (77,35) | (65,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_horizontal_06,boutique,2,horizontal,xp_zp,6,N206,N206,N206,N206,O-202,candidate_store,"(77,17) | (89,17) | (89,35) | (77,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_horizontal_07,boutique,2,horizontal,xp_zp,7,N207,N207,N207,N207,O-202,candidate_store,"(83,17) | (95,17) | (95,35) | (83,35) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_vertical_01,boutique,2,vertical,xp_zp,1,O201,O201,O201,O201,NO-20,candidate_store,"(17,17) | (35,17) | (35,29) | (17,29) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_vertical_02,boutique,2,vertical,xp_zp,2,O202,O202,O202,O202,N-209,candidate_store,"(17,29) | (35,29) | (35,41) | (17,41) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_vertical_03,boutique,2,vertical,xp_zp,3,O203,O203,O203,O203,N-207,candidate_store,"(17,41) | (35,41) | (35,53) | (17,53) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_vertical_04,boutique,2,vertical,xp_zp,4,O204,O204,O204,O204,N-205,candidate_store,"(17,53) | (35,53) | (35,65) | (17,65) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_vertical_05,boutique,2,vertical,xp_zp,5,O205,O205,O205,O205,N-203,candidate_store,"(17,65) | (35,65) | (35,77) | (17,77) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_vertical_06,boutique,2,vertical,xp_zp,6,O206,O206,O206,O206,N-201,candidate_store,"(17,77) | (35,77) | (35,89) | (17,89) | y:5.5-10.7",MISMATCH
phys_b_f2_xp_zp_vertical_07,boutique,2,vertical,xp_zp,7,O207,O207,O207,O207,N-201,candidate_store,"(17,83) | (35,83) | (35,95) | (17,95) | y:5.5-10.7",MISMATCH
