"Path","Category","Risk","ProposedDisposition","TrackedByGit","Bytes","LastModified"
"supabase\product_catalog_capacity_20260629.sql","database-operation","critical","review-and-organize","False","13176","2026-06-29T23:29:15"
"supabase\rebuild_store_catalog_from_physical_spaces.sql","database-operation","critical","review-and-organize","True","10634","2026-05-22T16:26:11"
"supabase\rebuild_stores_to_display_codes.sql","database-operation","critical","review-and-organize","True","9145","2026-05-22T11:39:08"
"supabase\rebuild_stores_to_display_codes_stepwise.sql","database-operation","critical","review-and-organize","True","10040","2026-05-22T11:39:26"
"supabase\reconcile_physical_spaces_20260805.sql","database-operation","critical","review-and-organize","False","6806","2026-08-09T09:11:04"
"supabase\remove_physical_spaces_source_code_20260805.sql","database-operation","critical","review-and-organize","False","2168","2026-08-05T23:03:33"
"supabase\rename_store_E101_to_OS-10.sql","database-operation","critical","review-and-organize","True","654","2026-05-19T22:38:37"
"supabase\rename_store_E102_to_S-108.sql","database-operation","critical","review-and-organize","True","653","2026-05-19T22:26:33"
"supabase\rename_store_E103_to_S-106.sql","database-operation","critical","review-and-organize","True","653","2026-05-19T22:20:44"
"supabase\rename_store_E104_to_S-104.sql","database-operation","critical","review-and-organize","True","653","2026-05-19T22:06:23"
"supabase\rename_store_E105_to_S-102.sql","database-operation","critical","review-and-organize","True","653","2026-05-19T21:52:01"
"supabase\rename_store_N105_to_O-102.sql","database-operation","critical","review-and-organize","True","654","2026-05-20T09:42:22"
"supabase\rename_store_O101_to_SE-10.sql","database-operation","critical","review-and-organize","True","654","2026-05-19T22:35:04"
"supabase\rename_store_O102_to_S-107.sql","database-operation","critical","review-and-organize","True","653","2026-05-19T22:24:03"
"supabase\rename_store_O103_to_S-105.sql","database-operation","critical","review-and-organize","True","653","2026-05-19T22:16:18"
"supabase\rename_store_O104_to_S-103.sql","database-operation","critical","review-and-organize","True","653","2026-05-19T22:00:11"
"supabase\rename_store_O105_to_S-101.sql","database-operation","critical","review-and-organize","True","653","2026-05-19T21:42:17"
"supabase\rename_store_S105_to_O-101.sql","database-operation","critical","review-and-organize","True","654","2026-05-19T22:48:42"
"supabase\rename_west_arm_batch_20260519.sql","database-operation","critical","review-and-organize","True","2100","2026-05-19T23:08:04"
"supabase\rental_management_examples.sql","database-operation","critical","review-and-organize","True","3618","2026-05-14T14:49:42"
"supabase\rls_security_hardening_20260603.sql","database-operation","critical","review-and-organize","True","4013","2026-06-03T16:44:49"
"supabase\seed_store_physical_links_from_display_codes_20260520.sql","database-operation","critical","review-and-organize","True","1082","2026-05-20T12:21:10"
"supabase\store_assets_owner_only_hardening_20260530.sql","database-operation","critical","review-and-organize","True","2285","2026-05-30T14:37:56"
"supabase\store_assets_storage.sql","database-operation","critical","review-and-organize","True","2755","2026-05-30T14:37:18"
"supabase\store_attendant_bot_20260804.sql","database-operation","critical","review-and-organize","False","9770","2026-08-04T19:11:16"
"supabase\store_products_local_code_fix.sql","database-operation","critical","review-and-organize","True","1943","2026-05-08T11:29:16"
"supabase\sync_physical_spaces_display_codes_from_3d.sql","database-operation","critical","review-and-organize","True","4395","2026-05-22T12:57:25"
"supabase\sync_physical_spaces_display_codes_official.sql","database-operation","critical","review-and-organize","True","5619","2026-08-05T22:58:39"
"supabase\telegram_message_webhook_20260603.sql","database-operation","critical","review-and-organize","True","1594","2026-06-03T16:55:34"
"supabase\transfer_SE10_to_sara_cruz_20260802.sql","database-operation","critical","review-and-organize","False","1841","2026-08-02T17:10:15"
"supabase\validate_physical_spaces_official.sql","database-operation","critical","review-and-organize","True","6636","2026-05-22T16:19:42"
"supabase\.temp\cli-latest","database-support","high","review-and-organize","True","8","2026-06-03T19:30:28"
"supabase\backup_before_NO10_to_jacqueline_20260804.md","database-support","high","review-and-organize","False","881","2026-08-04T22:02:56"
"supabase\generate_physical_space_plate_report.py","database-support","high","review-and-organize","True","7520","2026-05-22T12:43:08"
"supabase\physical_space_plate_report.csv","database-support","high","review-and-organize","True","16624","2026-05-22T12:43:41"
"supabase\physical_space_plate_report.md","database-support","high","review-and-organize","True","3622","2026-05-22T12:43:41"
"supabase\result_NO10_to_jacqueline_20260804.md","database-support","high","review-and-organize","False","547","2026-08-04T22:10:11"
"tools\audit-physical-spaces.mjs","developer-tool","medium","keep","False","11442","2026-08-09T09:10:12"
"tools\build-project-file-matrix.ps1","developer-tool","medium","keep","False","5147","2026-08-09T10:34:42"
"tools\canonical-backup\RESTORE.md","developer-tool","medium","keep","False","1110","2026-08-09T09:46:24"
"tools\canonical-backup\restore.ps1","developer-tool","medium","keep","False","2346","2026-08-09T08:33:13"
"tools\cleanup-obsolete-artifacts.ps1","developer-tool","medium","keep","False","4035","2026-08-09T09:47:24"
"tools\create-canonical-backup.ps1","developer-tool","medium","keep","False","6040","2026-08-09T10:34:31"
"tools\deployment\deploy_vercel_stable.ps1","developer-tool","medium","keep","False","3818","2026-05-22T21:53:22"
"tools\run-browser-test.js","developer-tool","medium","keep","False","778","2026-08-09T09:24:58"
"tools\run-edge-checks.js","developer-tool","medium","keep","False","1306","2026-08-09T10:34:01"
"tools\run-tests.js","developer-tool","medium","keep","False","1982","2026-08-09T08:48:26"
"docs\architecture\OS10_FURNITURE_ARCHITECTURE.md","documentation","low","review-and-organize","False","2776","2026-08-05T23:03:39"
"docs\archive\data\Proyecto Parketplace.docx","documentation","low","review-and-organize","False","45823","2026-04-03T11:37:45"
"docs\archive\MALL_INVENTORY.md","documentation","low","review-and-organize","False","2337","2026-04-05T16:07:08"
"docs\archive\version.txt","documentation","low","review-and-organize","False","76","2026-04-23T21:04:44"
"docs\audits\data\Catastro de Espacios Físicos del Mall.docx","documentation","low","review-and-organize","False","18045","2026-05-20T11:12:09"
"docs\audits\data\Catastro de Espacios Físicos del Mall.xlsx","documentation","low","review-and-organize","False","37036","2026-05-22T18:08:53"
"docs\audits\data\furniture_outside_store_spaces_20260805.csv","documentation","low","review-and-organize","False","1664","2026-08-09T09:11:04"
"docs\audits\data\OBSOLETE_ARTIFACTS_REMOVED_20260809.csv","documentation","low","review-and-organize","False","77942","2026-08-09T09:15:51"
"docs\audits\data\physical_space_inventory_20260520.json","documentation","low","review-and-organize","False","48256","2026-05-20T11:59:49"
"docs\audits\data\physical_space_inventory_20260805.json","documentation","low","review-and-organize","False","55343","2026-08-09T09:11:04"
"docs\audits\PHYSICAL_SPACE_AUDIT_20260805.md","documentation","low","review-and-organize","False","5318","2026-08-09T09:11:04"
"docs\audits\physical_space_inventory_20260520.md","documentation","low","review-and-organize","False","17143","2026-05-20T11:59:49"
"docs\audits\SECURITY_AND_IMPROVEMENT_REPORT.md","documentation","low","review-and-organize","False","4151","2026-02-21T17:20:19"
"docs\audits\SECURITY_AUDIT_20260731.md","documentation","low","review-and-organize","False","2070","2026-07-31T19:58:17"
"docs\audits\SECURITY_INCIDENT_20260717.md","documentation","low","review-and-organize","False","5779","2026-07-17T16:02:03"
"docs\audits\SECURITY_REMEDIATION_LOG.md","documentation","low","review-and-organize","False","102500","2026-06-29T23:31:19"
"docs\operations\ADMIN_TENANT_PROVISIONING_20260802.md","documentation","low","review-and-organize","False","2399","2026-08-02T16:21:49"
"docs\operations\ANALYTICS_IMPLEMENTATION_20260726.md","documentation","low","review-and-organize","False","5346","2026-07-26T08:12:15"
"docs\operations\MEMBER_BENEFITS_SETUP_20260803.md","documentation","low","review-and-organize","False","1654","2026-08-03T20:22:58"
"docs\operations\MULTI_STORE_IMPLEMENTATION_20260716.md","documentation","low","review-and-organize","False","5048","2026-07-16T16:49:28"
"docs\operations\STORE_ATTENDANT_SETUP_20260804.md","documentation","low","review-and-organize","False","2088","2026-08-04T19:12:27"
"docs\operations\SUPABASE_SETUP.md","documentation","low","review-and-organize","False","5895","2026-06-03T17:00:34"
"docs\operations\SUPABASE_TEST_ENVIRONMENT.md","documentation","low","review-and-organize","False","1840","2026-08-09T10:41:51"
"docs\operations\VERCEL_DEPLOY_FLOW.md","documentation","low","review-and-organize","False","1415","2026-05-21T14:31:37"
"docs\PROJECT_FILE_MATRIX_20260809.csv","documentation","low","review-and-organize","False","18463","2026-08-09T09:35:19"
"docs\PROJECT_FILE_MATRIX_20260809.summary.txt","documentation","low","review-and-organize","False","616","2026-08-09T09:35:19"
"docs\README.md","documentation","low","review-and-organize","False","523","2026-08-09T09:10:45"
"docs\TEST_COVERAGE_MATRIX_20260809.md","documentation","low","review-and-organize","False","5040","2026-08-09T10:41:44"
"README.md","documentation","low","review-and-organize","False","1088","2026-08-09T09:45:03"
"package.json","generated-or-data-artifact","low","review","False","1122","2026-08-09T10:41:33"
"package-lock.json","generated-or-data-artifact","low","review","False","24868","2026-08-09T10:27:25"
"vercel.json","generated-or-data-artifact","low","review","True","1758","2026-07-02T23:06:00"
"assets\avatars\model.glb","production-asset","medium","keep","True","3877680","2026-05-04T03:16:48"
"index.html","production-entrypoint","critical","keep","True","81336","2026-08-09T09:03:48"
"js\mall\commerce\product-capacity.js","production-module","critical","keep","False","3436","2026-08-09T09:03:40"
"js\mall\mall-analytics.js","production-module","critical","keep","False","28537","2026-07-26T18:37:17"
"js\mall\mall-boot.js","production-module","critical","keep","True","10025","2026-08-04T23:16:30"
"js\mall\mall-constants.js","production-module","critical","keep","True","31831","2026-08-08T19:59:06"
"js\mall\mall-furniture.js","production-module","critical","keep","False","1304","2026-08-05T22:55:24"
"js\mall\mall-interaction.js","production-module","critical","keep","True","6484","2026-06-03T20:57:54"
"js\mall\mall-main.js","production-module","critical","keep","True","40787","2026-08-09T09:36:36"
"js\mall\mall-mobile-controls.js","production-module","critical","keep","False","10582","2026-08-08T19:58:03"
"js\mall\mall-multiplayer.js","production-module","critical","keep","True","15818","2026-08-04T22:39:49"
"js\mall\mall-navigation.js","production-module","critical","keep","True","23321","2026-08-08T00:57:54"
"js\mall\mall-npc.js","production-module","critical","keep","True","62799","2026-08-08T19:56:41"
"js\mall\mall-physics.js","production-module","critical","keep","True","8307","2026-08-09T09:36:43"
"js\mall\mall-store-assistant.js","production-module","critical","keep","False","29646","2026-08-08T02:06:55"
"js\mall\mall-stores.js","production-module","critical","keep","True","32414","2026-08-09T09:05:06"
"js\mall\mall-ui.js","production-module","critical","keep","True","355976","2026-08-09T08:59:39"
"js\mall\mall-world.js","production-module","critical","keep","True","257852","2026-08-08T21:04:29"
"js\mall\security\url-safety.js","production-module","critical","keep","False","1938","2026-08-09T08:59:21"
"css\mall.css","production-style","high","keep","True","124349","2026-08-08T19:54:49"
"tests\artifacts\legacy-mobile-canvas.png","test","high","keep","False","848625","2026-08-09T10:43:05"
"tests\artifacts\legacy-mobile-page.png","test","high","keep","False","848609","2026-08-09T10:42:56"
"tests\browser\mobile-performance.browser.test.js","test","high","keep","False","4905","2026-08-09T09:16:29"
"tests\contracts\authorization-boundary.test.js","test","high","keep","False","2693","2026-08-09T09:07:45"
"tests\contracts\deployment-boundary.test.js","test","high","keep","False","1956","2026-08-09T09:07:50"
"tests\contracts\edge-functions-security.test.js","test","high","keep","False","3125","2026-08-09T10:43:49"
"tests\contracts\entrypoint-contract.test.js","test","high","keep","False","2508","2026-08-09T09:07:58"
"tests\contracts\module-surface.test.js","test","high","keep","False","2084","2026-08-09T09:31:06"
"tests\contracts\security-schema-contract.test.js","test","high","keep","False","2160","2026-08-09T09:08:02"
"tests\contracts\source-text-integrity.test.js","test","high","keep","False","1324","2026-08-09T09:24:07"
"tests\integration\edge-functions.http.integration.js","test","high","keep","False","6822","2026-08-09T10:39:23"
"tests\README.md","test","high","keep","False","687","2026-08-09T10:41:39"
"tests\unit\interior-streaming.test.js","test","high","keep","False","1066","2026-08-09T09:08:14"
"tests\unit\mobile-controls.test.js","test","high","keep","False","4225","2026-08-09T09:08:22"
"tests\unit\mobile-performance.test.js","test","high","keep","False","1443","2026-08-09T09:08:27"
"tests\unit\os10-furniture.test.js","test","high","keep","False","2424","2026-08-09T09:08:34"
"tests\unit\physics.test.js","test","high","keep","False","2637","2026-08-09T09:34:17"
"tests\unit\product-capacity.test.js","test","high","keep","False","1425","2026-08-09T09:02:34"
"tests\unit\security-utils.test.js","test","high","keep","False","1345","2026-08-09T08:58:12"
".gitignore","unclassified","medium","manual-review","True","568","2026-08-09T09:16:35"
".vercelignore","unclassified","medium","manual-review","True","899","2026-08-09T08:33:32"
"deno.lock","unclassified","medium","manual-review","False","15082","2026-08-09T10:29:57"
"assets\vendor\sb-client\client-v2.min.js","vendored-dependency","high","keep-and-integrity-test","True","199913","2026-06-02T20:09:34"
"assets\vendor\three\GLTFLoader.r128.js","vendored-dependency","high","keep-and-integrity-test","True","96550","2026-06-02T20:09:32"
"assets\vendor\three\OrbitControls.r128.js","vendored-dependency","high","keep-and-integrity-test","True","26375","2026-06-02T20:09:29"
"assets\vendor\three\SkeletonUtils.r128.js","vendored-dependency","high","keep-and-integrity-test","True","11872","2026-06-02T20:09:32"
"assets\vendor\three\three.r128.min.js","vendored-dependency","high","keep-and-integrity-test","True","603445","2026-06-02T20:09:28"
